date,supply
27/04/2013 0:00,11086050
30/04/2013 0:00,11098475
3/05/2013 0:00,11109275
6/05/2013 0:00,11121050
9/05/2013 0:00,11133675
12/05/2013 0:00,11146675
15/05/2013 0:00,11158525
18/05/2013 0:00,11169850
21/05/2013 0:00,11180875
24/05/2013 0:00,11193100
27/05/2013 0:00,11205725
30/05/2013 0:00,11218200
2/06/2013 0:00,11232900
5/06/2013 0:00,11248425
8/06/2013 0:00,11261100
11/06/2013 0:00,11274175
14/06/2013 0:00,11288300
17/06/2013 0:00,11301225
20/06/2013 0:00,11311650
23/06/2013 0:00,11324675
26/06/2013 0:00,11336675
29/06/2013 0:00,11349050
2/07/2013 0:00,11360900
5/07/2013 0:00,11373950
8/07/2013 0:00,11387975
11/07/2013 0:00,11402075
14/07/2013 0:00,11414050
17/07/2013 0:00,11426650
20/07/2013 0:00,11439850
23/07/2013 0:00,11452850
26/07/2013 0:00,11464575
29/07/2013 0:00,11477275
1/08/2013 0:00,11491500
4/08/2013 0:00,11505000
7/08/2013 0:00,11518925
10/08/2013 0:00,11534150
13/08/2013 0:00,11550025
16/08/2013 0:00,11562350
19/08/2013 0:00,11576400
22/08/2013 0:00,11591275
25/08/2013 0:00,11604875
28/08/2013 0:00,11617425
31/08/2013 0:00,11632600
3/09/2013 0:00,11648650
6/09/2013 0:00,11661825
9/09/2013 0:00,11674450
12/09/2013 0:00,11689325
15/09/2013 0:00,11704550
18/09/2013 0:00,11716975
21/09/2013 0:00,11731350
24/09/2013 0:00,11747050
27/09/2013 0:00,11761075
30/09/2013 0:00,11773650
3/10/2013 0:00,11788075
6/10/2013 0:00,11802850
9/10/2013 0:00,11815150
12/10/2013 0:00,11829375
15/10/2013 0:00,11847750
18/10/2013 0:00,11862025
21/10/2013 0:00,11877925
24/10/2013 0:00,11894650
27/10/2013 0:00,11910050
30/10/2013 0:00,11923350
2/11/2013 0:00,11938750
5/11/2013 0:00,11952900
8/11/2013 0:00,11964125
11/11/2013 0:00,11976750
14/11/2013 0:00,11990400
17/11/2013 0:00,12004200
20/11/2013 0:00,12016250
23/11/2013 0:00,12028150
26/11/2013 0:00,12041050
29/11/2013 0:00,12054375
2/12/2013 0:00,12067325
5/12/2013 0:00,12080775
8/12/2013 0:00,12095325
11/12/2013 0:00,12109175
14/12/2013 0:00,12122475
17/12/2013 0:00,12136675
20/12/2013 0:00,12152375
23/12/2013 0:00,12164575
26/12/2013 0:00,12177500
29/12/2013 0:00,12189725
1/01/2014 0:00,12203800
4/01/2014 0:00,12215225
7/01/2014 0:00,12228825
10/01/2014 0:00,12243325
13/01/2014 0:00,12258325
16/01/2014 0:00,12271450
19/01/2014 0:00,12283950
22/01/2014 0:00,12297575
25/01/2014 0:00,12310800
28/01/2014 0:00,12322975
31/01/2014 0:00,12335525
3/02/2014 0:00,12349750
6/02/2014 0:00,12362425
9/02/2014 0:00,12374700
12/02/2014 0:00,12386875
15/02/2014 0:00,12400650
18/02/2014 0:00,12413800
21/02/2014 0:00,12427050
24/02/2014 0:00,12440250
27/02/2014 0:00,12453575
2/03/2014 0:00,12465700
5/03/2014 0:00,12476750
8/03/2014 0:00,12489350
11/03/2014 0:00,12501775
14/03/2014 0:00,12513675
17/03/2014 0:00,12526450
20/03/2014 0:00,12538125
23/03/2014 0:00,12552175
26/03/2014 0:00,12564875
29/03/2014 0:00,12577900
1/04/2014 0:00,12590300
4/04/2014 0:00,12605150
7/04/2014 0:00,12616825
10/04/2014 0:00,12628725
13/04/2014 0:00,12641425
16/04/2014 0:00,12654575
19/04/2014 0:00,12666900
22/04/2014 0:00,12679425
25/04/2014 0:00,12691575
28/04/2014 0:00,12704350
1/05/2014 0:00,12716150
4/05/2014 0:00,12727800
7/05/2014 0:00,12739650
10/05/2014 0:00,12752125
13/05/2014 0:00,12764450
16/05/2014 0:00,12776900
19/05/2014 0:00,12789750
22/05/2014 0:00,12802850
25/05/2014 0:00,12814775
28/05/2014 0:00,12826650
31/05/2014 0:00,12837800
3/06/2014 0:00,12851450
6/06/2014 0:00,12863350
9/06/2014 0:00,12874325
12/06/2014 0:00,12886275
15/06/2014 0:00,12899525
18/06/2014 0:00,12913300
21/06/2014 0:00,12926425
24/06/2014 0:00,12940150
27/06/2014 0:00,12953750
30/06/2014 0:00,12965900
3/07/2014 0:00,12976150
6/07/2014 0:00,12987675
9/07/2014 0:00,12999175
12/07/2014 0:00,13010900
15/07/2014 0:00,13021825
18/07/2014 0:00,13034200
21/07/2014 0:00,13046475
24/07/2014 0:00,13057425
27/07/2014 0:00,13068875
30/07/2014 0:00,13080375
2/08/2014 0:00,13092275
5/08/2014 0:00,13102750
8/08/2014 0:00,13114525
11/08/2014 0:00,13127875
14/08/2014 0:00,13140575
17/08/2014 0:00,13153050
20/08/2014 0:00,13166525
23/08/2014 0:00,13178675
26/08/2014 0:00,13190275
29/08/2014 0:00,13202975
1/09/2014 0:00,13215900
4/09/2014 0:00,13227625
7/09/2014 0:00,13239650
10/09/2014 0:00,13250675
13/09/2014 0:00,13263175
16/09/2014 0:00,13275350
19/09/2014 0:00,13288750
22/09/2014 0:00,13301375
25/09/2014 0:00,13313300
28/09/2014 0:00,13323750
1/10/2014 0:00,13334625
4/10/2014 0:00,13345425
7/10/2014 0:00,13357650
10/10/2014 0:00,13368450
13/10/2014 0:00,13379550
16/10/2014 0:00,13390475
19/10/2014 0:00,13401400
22/10/2014 0:00,13412625
25/10/2014 0:00,13424075
28/10/2014 0:00,13434800
31/10/2014 0:00,13447425
3/11/2014 0:00,13459400
6/11/2014 0:00,13471125
9/11/2014 0:00,13482100
12/11/2014 0:00,13492950
15/11/2014 0:00,13504000
18/11/2014 0:00,13515175
21/11/2014 0:00,13525125
24/11/2014 0:00,13536475
27/11/2014 0:00,13546525
30/11/2014 0:00,13558075
3/12/2014 0:00,13568225
6/12/2014 0:00,13579300
9/12/2014 0:00,13589575
12/12/2014 0:00,13600850
15/12/2014 0:00,13611550
18/12/2014 0:00,13621525
21/12/2014 0:00,13631775
24/12/2014 0:00,13642825
27/12/2014 0:00,13654650
30/12/2014 0:00,13666700
2/01/2015 0:00,13678725
5/01/2015 0:00,13691175
8/01/2015 0:00,13702175
11/01/2015 0:00,13713175
14/01/2015 0:00,13723675
17/01/2015 0:00,13734300
20/01/2015 0:00,13744900
23/01/2015 0:00,13755175
26/01/2015 0:00,13764525
29/01/2015 0:00,13776350
1/02/2015 0:00,13787950
4/02/2015 0:00,13799025
7/02/2015 0:00,13811375
10/02/2015 0:00,13822200
13/02/2015 0:00,13832850
16/02/2015 0:00,13844175
19/02/2015 0:00,13856175
22/02/2015 0:00,13867550
25/02/2015 0:00,13878325
28/02/2015 0:00,13889250
3/03/2015 0:00,13900600
6/03/2015 0:00,13911325
9/03/2015 0:00,13922050
12/03/2015 0:00,13933300
15/03/2015 0:00,13943800
18/03/2015 0:00,13954175
21/03/2015 0:00,13964850
24/03/2015 0:00,13976150
27/03/2015 0:00,13988325
30/03/2015 0:00,13999400
2/04/2015 0:00,14010350
5/04/2015 0:00,14021750
8/04/2015 0:00,14031925
11/04/2015 0:00,14042475
14/04/2015 0:00,14053350
17/04/2015 0:00,14063225
20/04/2015 0:00,14074100
23/04/2015 0:00,14085100
26/04/2015 0:00,14095675
29/04/2015 0:00,14106275
2/05/2015 0:00,14116950
5/05/2015 0:00,14127550
8/05/2015 0:00,14138850
11/05/2015 0:00,14148950
14/05/2015 0:00,14160450
17/05/2015 0:00,14172100
20/05/2015 0:00,14182475
23/05/2015 0:00,14192850
26/05/2015 0:00,14203350
29/05/2015 0:00,14214200
1/06/2015 0:00,14224400
4/06/2015 0:00,14235150
7/06/2015 0:00,14246900
10/06/2015 0:00,14258425
13/06/2015 0:00,14269650
16/06/2015 0:00,14280100
19/06/2015 0:00,14291525
22/06/2015 0:00,14301625
25/06/2015 0:00,14312975
28/06/2015 0:00,14323550
1/07/2015 0:00,14334175
4/07/2015 0:00,14345600
7/07/2015 0:00,14357175
10/07/2015 0:00,14368375
13/07/2015 0:00,14379075
16/07/2015 0:00,14389800
19/07/2015 0:00,14400975
22/07/2015 0:00,14411750
25/07/2015 0:00,14423500
28/07/2015 0:00,14434375
31/07/2015 0:00,14445000
3/08/2015 0:00,14456700
6/08/2015 0:00,14466950
9/08/2015 0:00,14477800
12/08/2015 0:00,14489475
15/08/2015 0:00,14499900
18/08/2015 0:00,14510800
21/08/2015 0:00,14522325
24/08/2015 0:00,14533500
27/08/2015 0:00,14544550
30/08/2015 0:00,14556000
2/09/2015 0:00,14567625
5/09/2015 0:00,14578975
8/09/2015 0:00,14589825
11/09/2015 0:00,14601900
14/09/2015 0:00,14612775
17/09/2015 0:00,14624100
20/09/2015 0:00,14634000
23/09/2015 0:00,14645050
26/09/2015 0:00,14656525
29/09/2015 0:00,14667925
2/10/2015 0:00,14678775
5/10/2015 0:00,14690050
8/10/2015 0:00,14700575
11/10/2015 0:00,14711375
14/10/2015 0:00,14722025
17/10/2015 0:00,14733250
20/10/2015 0:00,14744150
23/10/2015 0:00,14755550
26/10/2015 0:00,14766700
29/10/2015 0:00,14777750
1/11/2015 0:00,14789625
4/11/2015 0:00,14801075
7/11/2015 0:00,14812300
10/11/2015 0:00,14823050
13/11/2015 0:00,14835300
16/11/2015 0:00,14847125
19/11/2015 0:00,14858150
22/11/2015 0:00,14870925
25/11/2015 0:00,14882575
28/11/2015 0:00,14894000
1/12/2015 0:00,14906475
4/12/2015 0:00,14917400
7/12/2015 0:00,14929675
10/12/2015 0:00,14942975
13/12/2015 0:00,14955250
16/12/2015 0:00,14968675
19/12/2015 0:00,14980525
22/12/2015 0:00,14992125
25/12/2015 0:00,15003325
28/12/2015 0:00,15016875
31/12/2015 0:00,15028600
3/01/2016 0:00,15039125
6/01/2016 0:00,15050975
9/01/2016 0:00,15062925
12/01/2016 0:00,15075825
15/01/2016 0:00,15086025
18/01/2016 0:00,15097350
21/01/2016 0:00,15108075
24/01/2016 0:00,15120825
27/01/2016 0:00,15133100
30/01/2016 0:00,15145475
2/02/2016 0:00,15158450
5/02/2016 0:00,15171925
8/02/2016 0:00,15185275
11/02/2016 0:00,15198525
14/02/2016 0:00,15210825
17/02/2016 0:00,15221750
20/02/2016 0:00,15233675
23/02/2016 0:00,15243450
26/02/2016 0:00,15253900
29/02/2016 0:00,15264275
3/03/2016 0:00,15274725
6/03/2016 0:00,15285975
9/03/2016 0:00,15297325
12/03/2016 0:00,15309050
15/03/2016 0:00,15319900
18/03/2016 0:00,15330975
21/03/2016 0:00,15341275
24/03/2016 0:00,15352550
27/03/2016 0:00,15363675
30/03/2016 0:00,15375450
2/04/2016 0:00,15385750
5/04/2016 0:00,15397250
8/04/2016 0:00,15408300
11/04/2016 0:00,15420475
14/04/2016 0:00,15432325
17/04/2016 0:00,15443350
20/04/2016 0:00,15455525
23/04/2016 0:00,15466475
26/04/2016 0:00,15476725
29/04/2016 0:00,15487275
2/05/2016 0:00,15498725
5/05/2016 0:00,15510550
8/05/2016 0:00,15522500
11/05/2016 0:00,15534100
14/05/2016 0:00,15544975
17/05/2016 0:00,15555500
20/05/2016 0:00,15566050
23/05/2016 0:00,15578675
26/05/2016 0:00,15589175
29/05/2016 0:00,15599650
1/06/2016 0:00,15610000
4/06/2016 0:00,15619975
7/06/2016 0:00,15631975
10/06/2016 0:00,15643300
13/06/2016 0:00,15654875
16/06/2016 0:00,15665700
19/06/2016 0:00,15677800
22/06/2016 0:00,15688850
25/06/2016 0:00,15699625
28/06/2016 0:00,15710650
1/07/2016 0:00,15721925
4/07/2016 0:00,15733275
7/07/2016 0:00,15743825
10/07/2016 0:00,15752537.5
13/07/2016 0:00,15757725
16/07/2016 0:00,15763137.5
19/07/2016 0:00,15768450
22/07/2016 0:00,15773600
25/07/2016 0:00,15778425
28/07/2016 0:00,15783337.5
31/07/2016 0:00,15788587.5
3/08/2016 0:00,15794500
6/08/2016 0:00,15800600
9/08/2016 0:00,15805850
12/08/2016 0:00,15811475
15/08/2016 0:00,15817375
18/08/2016 0:00,15822525
21/08/2016 0:00,15828425
24/08/2016 0:00,15834137.5
27/08/2016 0:00,15839212.5
30/08/2016 0:00,15845025
2/09/2016 0:00,15850362.5
5/09/2016 0:00,15855925
8/09/2016 0:00,15861325
11/09/2016 0:00,15867087.5
14/09/2016 0:00,15873137.5
17/09/2016 0:00,15878837.5
20/09/2016 0:00,15884200
23/09/2016 0:00,15889737.5
26/09/2016 0:00,15896037.5
29/09/2016 0:00,15901762.5
2/10/2016 0:00,15907262.5
5/10/2016 0:00,15913212.5
8/10/2016 0:00,15919125
11/10/2016 0:00,15924412.5
14/10/2016 0:00,15929512.5
17/10/2016 0:00,15934475
20/10/2016 0:00,15939650
23/10/2016 0:00,15945362.5
26/10/2016 0:00,15950612.5
29/10/2016 0:00,15956400
1/11/2016 0:00,15962137.5
4/11/2016 0:00,15967187.5
7/11/2016 0:00,15972762.5
10/11/2016 0:00,15978812.5
13/11/2016 0:00,15984725
16/11/2016 0:00,15990962.5
19/11/2016 0:00,15996575
22/11/2016 0:00,16001587.5
25/11/2016 0:00,16007350
28/11/2016 0:00,16013112.5
1/12/2016 0:00,16018575
4/12/2016 0:00,16024362.5
7/12/2016 0:00,16030312.5
10/12/2016 0:00,16035612.5
13/12/2016 0:00,16042125
16/12/2016 0:00,16047112.5
19/12/2016 0:00,16052562.5
22/12/2016 0:00,16058262.5
25/12/2016 0:00,16063937.5
28/12/2016 0:00,16069712.5
31/12/2016 0:00,16075400
3/01/2017 0:00,16081387.5
6/01/2017 0:00,16087062.5
9/01/2017 0:00,16092575
12/01/2017 0:00,16098637.5
15/01/2017 0:00,16104750
18/01/2017 0:00,16110712.5
21/01/2017 0:00,16117512.5
24/01/2017 0:00,16123275
27/01/2017 0:00,16129200
30/01/2017 0:00,16134987.5
2/02/2017 0:00,16141162.5
5/02/2017 0:00,16146812.5
8/02/2017 0:00,16152087.5
11/02/2017 0:00,16157775
14/02/2017 0:00,16163675
17/02/2017 0:00,16169187.5
20/02/2017 0:00,16174600
23/02/2017 0:00,16179925
26/02/2017 0:00,16186275
1/03/2017 0:00,16191787.5
4/03/2017 0:00,16197287.5
7/03/2017 0:00,16202812.5
10/03/2017 0:00,16208387.5
13/03/2017 0:00,16214000
16/03/2017 0:00,16219637.5
19/03/2017 0:00,16225587.5
22/03/2017 0:00,16231050
25/03/2017 0:00,16236762.5
28/03/2017 0:00,16242425
31/03/2017 0:00,16247887.5
3/04/2017 0:00,16253712.5
6/04/2017 0:00,16259137.5
9/04/2017 0:00,16264862.5
12/04/2017 0:00,16270562.5
15/04/2017 0:00,16275762.5
18/04/2017 0:00,16281137.5
21/04/2017 0:00,16286737.5
24/04/2017 0:00,16292012.5
27/04/2017 0:00,16297612.5
30/04/2017 0:00,16303362.5
3/05/2017 0:00,16308862.5
6/05/2017 0:00,16314675
9/05/2017 0:00,16320950
12/05/2017 0:00,16326412.5
15/05/2017 0:00,16332562.5
18/05/2017 0:00,16337925
21/05/2017 0:00,16343875
24/05/2017 0:00,16349725
27/05/2017 0:00,16355775
30/05/2017 0:00,16361962.5
2/06/2017 0:00,16367962.5
5/06/2017 0:00,16374425
8/06/2017 0:00,16380437.5
11/06/2017 0:00,16385912.5
14/06/2017 0:00,16391262.5
17/06/2017 0:00,16396837.5
20/06/2017 0:00,16402262.5
23/06/2017 0:00,16407750
26/06/2017 0:00,16412875
29/06/2017 0:00,16417975
2/07/2017 0:00,16424300
5/07/2017 0:00,16430200
8/07/2017 0:00,16435887.5
11/07/2017 0:00,16442237.5
14/07/2017 0:00,16448150
17/07/2017 0:00,16453625
20/07/2017 0:00,16459575
23/07/2017 0:00,16465650
26/07/2017 0:00,16471562.5
29/07/2017 0:00,16477325
1/08/2017 0:00,16482837.5
4/08/2017 0:00,16488700
7/08/2017 0:00,16494575
10/08/2017 0:00,16500025
13/08/2017 0:00,16505362.5
16/08/2017 0:00,16510512.5
19/08/2017 0:00,16516500
22/08/2017 0:00,16520675
25/08/2017 0:00,16525187.5
28/08/2017 0:00,16530050
31/08/2017 0:00,16536050
3/09/2017 0:00,16542200
6/09/2017 0:00,16548875
9/09/2017 0:00,16555375
12/09/2017 0:00,16561625
15/09/2017 0:00,16568425
18/09/2017 0:00,16574325
21/09/2017 0:00,16579937.5
24/09/2017 0:00,16585562.5
27/09/2017 0:00,16590687.5
30/09/2017 0:00,16596737.5
3/10/2017 0:00,16602525
6/10/2017 0:00,16607750
9/10/2017 0:00,16614012.5
12/10/2017 0:00,16619662.5
15/10/2017 0:00,16625562.5
18/10/2017 0:00,16631675
21/10/2017 0:00,16638050
24/10/2017 0:00,16644550
27/10/2017 0:00,16650412.5
30/10/2017 0:00,16655237.5
2/11/2017 0:00,16660787.5
5/11/2017 0:00,16665662.5
8/11/2017 0:00,16671075
11/11/2017 0:00,16675487.5
14/11/2017 0:00,16679837.5
17/11/2017 0:00,16685725
20/11/2017 0:00,16691612.5
23/11/2017 0:00,16697587.5
26/11/2017 0:00,16703312.5
29/11/2017 0:00,16709550
2/12/2017 0:00,16715937.5
5/12/2017 0:00,16722625
8/12/2017 0:00,16728825
11/12/2017 0:00,16735187.5
14/12/2017 0:00,16741775
17/12/2017 0:00,16748337.5
20/12/2017 0:00,16754062.5
23/12/2017 0:00,16759387.5
26/12/2017 0:00,16764750
29/12/2017 0:00,16770625
1/01/2018 0:00,16776450
4/01/2018 0:00,16782650
7/01/2018 0:00,16788562.5
10/01/2018 0:00,16794762.5
13/01/2018 0:00,16801262.5
16/01/2018 0:00,16807062.5
19/01/2018 0:00,16813375
22/01/2018 0:00,16820025
25/01/2018 0:00,16826412.5
28/01/2018 0:00,16832287.5
31/01/2018 0:00,16837687.5
3/02/2018 0:00,16843762.5
6/02/2018 0:00,16850425
9/02/2018 0:00,16855512.5
12/02/2018 0:00,16861262.5
15/02/2018 0:00,16867187.5
18/02/2018 0:00,16873037.5
21/02/2018 0:00,16878937.5
24/02/2018 0:00,16884462.5
27/02/2018 0:00,16890362.5
2/03/2018 0:00,16896312.5
5/03/2018 0:00,16902275
8/03/2018 0:00,16908212.5
11/03/2018 0:00,16913700
14/03/2018 0:00,16919487.5
17/03/2018 0:00,16925100
20/03/2018 0:00,16930512.5
23/03/2018 0:00,16935862.5
26/03/2018 0:00,16941375
29/03/2018 0:00,16946862.5
1/04/2018 0:00,16952512.5
4/04/2018 0:00,16958337.5
7/04/2018 0:00,16964262.5
10/04/2018 0:00,16970162.5
13/04/2018 0:00,16976162.5
16/04/2018 0:00,16981675
19/04/2018 0:00,16987925
22/04/2018 0:00,16993625
25/04/2018 0:00,16999062.5
28/04/2018 0:00,17004200
1/05/2018 0:00,17010087.5
4/05/2018 0:00,17015450
7/05/2018 0:00,17021050
10/05/2018 0:00,17026712.5
13/05/2018 0:00,17032212.5
16/05/2018 0:00,17037925
19/05/2018 0:00,17043350
22/05/2018 0:00,17049000
25/05/2018 0:00,17055012.5
28/05/2018 0:00,17061037.5
31/05/2018 0:00,17067075
3/06/2018 0:00,17073087.5
6/06/2018 0:00,17079400
9/06/2018 0:00,17084787.5
12/06/2018 0:00,17089937.5
15/06/2018 0:00,17095550
18/06/2018 0:00,17101637.5
21/06/2018 0:00,17107637.5
24/06/2018 0:00,17113662.5
27/06/2018 0:00,17118962.5
30/06/2018 0:00,17124575
3/07/2018 0:00,17129625
6/07/2018 0:00,17135012.5
9/07/2018 0:00,17140637.5
12/07/2018 0:00,17145950
15/07/2018 0:00,17151062.5
18/07/2018 0:00,17156725
21/07/2018 0:00,17162500
24/07/2018 0:00,17168837.5
27/07/2018 0:00,17175200
30/07/2018 0:00,17180812.5
2/08/2018 0:00,17186437.5
5/08/2018 0:00,17192712.5
8/08/2018 0:00,17198212.5
11/08/2018 0:00,17204400
14/08/2018 0:00,17209912.5
17/08/2018 0:00,17215800
20/08/2018 0:00,17221487.5
23/08/2018 0:00,17227200
26/08/2018 0:00,17232875
29/08/2018 0:00,17238837.5
1/09/2018 0:00,17244587.5
4/09/2018 0:00,17249762.5
7/09/2018 0:00,17255187.5
10/09/2018 0:00,17260787.5
13/09/2018 0:00,17266500
16/09/2018 0:00,17271637.5
19/09/2018 0:00,17277050
22/09/2018 0:00,17282712.5
25/09/2018 0:00,17288550
28/09/2018 0:00,17294000
1/10/2018 0:00,17299912.5
4/10/2018 0:00,17305312.5
7/10/2018 0:00,17310275
10/10/2018 0:00,17315387.5
13/10/2018 0:00,17320787.5
16/10/2018 0:00,17325925
19/10/2018 0:00,17331150
22/10/2018 0:00,17336600
25/10/2018 0:00,17341650
28/10/2018 0:00,17346887.5
31/10/2018 0:00,17352675
3/11/2018 0:00,17358400
6/11/2018 0:00,17363337.5
9/11/2018 0:00,17368062.5
12/11/2018 0:00,17373275
15/11/2018 0:00,17378050
18/11/2018 0:00,17382975
21/11/2018 0:00,17387512.5
24/11/2018 0:00,17392387.5
27/11/2018 0:00,17397000
30/11/2018 0:00,17401050
3/12/2018 0:00,17405450
6/12/2018 0:00,17410487.5
9/12/2018 0:00,17415100
12/12/2018 0:00,17419712.5
15/12/2018 0:00,17425037.5
18/12/2018 0:00,17430075
21/12/2018 0:00,17435375
24/12/2018 0:00,17441662.5
27/12/2018 0:00,17447787.5
30/12/2018 0:00,17453800
2/01/2019 0:00,17459487.5
5/01/2019 0:00,17465325
8/01/2019 0:00,17470962.5
11/01/2019 0:00,17476812.5
14/01/2019 0:00,17482112.5
17/01/2019 0:00,17487012.5
20/01/2019 0:00,17492362.5
23/01/2019 0:00,17497687.5
26/01/2019 0:00,17503312.5
29/01/2019 0:00,17508662.5
1/02/2019 0:00,17514275
4/02/2019 0:00,17519637.5
7/02/2019 0:00,17525700
10/02/2019 0:00,17531362.5
13/02/2019 0:00,17536687.5
16/02/2019 0:00,17541912.5
19/02/2019 0:00,17547787.5
22/02/2019 0:00,17552925
25/02/2019 0:00,17558212.5
28/02/2019 0:00,17563862.5
3/03/2019 0:00,17569362.5
6/03/2019 0:00,17574537.5
9/03/2019 0:00,17579862.5
12/03/2019 0:00,17585125
15/03/2019 0:00,17590662.5
18/03/2019 0:00,17596537.5
21/03/2019 0:00,17602512.5
24/03/2019 0:00,17608212.5
27/03/2019 0:00,17613600
30/03/2019 0:00,17619000
2/04/2019 0:00,17624400
5/04/2019 0:00,17629900
8/04/2019 0:00,17635250
11/04/2019 0:00,17640712.5
14/04/2019 0:00,17645812.5
17/04/2019 0:00,17651162.5
20/04/2019 0:00,17656562.5
23/04/2019 0:00,17661712.5
26/04/2019 0:00,17667425
29/04/2019 0:00,17673212.5
2/05/2019 0:00,17679400
5/05/2019 0:00,17684562.5
8/05/2019 0:00,17689937.5
11/05/2019 0:00,17695000
14/05/2019 0:00,17700962.5
17/05/2019 0:00,17706537.5
20/05/2019 0:00,17712500
23/05/2019 0:00,17718475
26/05/2019 0:00,17724200
29/05/2019 0:00,17730512.5
1/06/2019 0:00,17735862.5
4/06/2019 0:00,17740912.5
7/06/2019 0:00,17746850
10/06/2019 0:00,17752200
13/06/2019 0:00,17757512.5
16/06/2019 0:00,17763075
19/06/2019 0:00,17768987.5
22/06/2019 0:00,17774212.5
25/06/2019 0:00,17780512.5
28/06/2019 0:00,17786387.5
1/07/2019 0:00,17792250
4/07/2019 0:00,17798462.5
7/07/2019 0:00,17804962.5
10/07/2019 0:00,17810725
13/07/2019 0:00,17816150
16/07/2019 0:00,17821812.5
19/07/2019 0:00,17826462.5
22/07/2019 0:00,17832512.5
25/07/2019 0:00,17837912.5
28/07/2019 0:00,17844075
31/07/2019 0:00,17850087.5
3/08/2019 0:00,17856137.5
6/08/2019 0:00,17862025
9/08/2019 0:00,17867550
12/08/2019 0:00,17873012.5
15/08/2019 0:00,17878837.5
18/08/2019 0:00,17883850
21/08/2019 0:00,17889500
24/08/2019 0:00,17895175
27/08/2019 0:00,17900512.5
30/08/2019 0:00,17906462.5
2/09/2019 0:00,17912187.5
5/09/2019 0:00,17918000
8/09/2019 0:00,17924062.5
11/09/2019 0:00,17930462.5
14/09/2019 0:00,17936250
17/09/2019 0:00,17941975
20/09/2019 0:00,17947887.5
23/09/2019 0:00,17953462.5
26/09/2019 0:00,17959512.5
29/09/2019 0:00,17964850
2/10/2019 0:00,17970112.5
5/10/2019 0:00,17975762.5
8/10/2019 0:00,17981587.5
11/10/2019 0:00,17987287.5
14/10/2019 0:00,17992412.5
17/10/2019 0:00,17997987.5
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
